stop_id,name,latitude,longitude,line,network,operator,shelter,bench,source,data_retrieved
4345616053,Saint-Guilhem - Courreau,43.6081284,3.8735437,44104,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
4345616056,Peyrou - Arc de Triomphe,43.611415,3.8722575,44203,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
4345616072,Albert 1er - Jardin des Plantes,43.6148176,3.8737832,44102,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
4345616073,Albert 1er - Jardin des Plantes,43.6148246,3.873733,44202,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
6568530983,Aiguelongue,43.6262633,3.8832078,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
6568557590,Jeu de Mail des Abbés,43.6204139,3.8840985,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
7726926817,La Condamine,43.5719914,3.8444352,42265,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
8719434195,Garcia Lorca,43.5912508,3.8911346,44106,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
8719434196,Garcia Lorca,43.5911121,3.8909953,44205,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
11808212951,Saint-Éloi - Docteur Pezet,43.6271136,3.8667078,Unknown,TaM,TAM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
11808212967,Saint-Éloi - Docteur Pezet,43.6270892,3.866745,Unknown,TaM,TAM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
