bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Fac de Lettres,43.6353331,3.8687709,Université Montpellier - Triolet,43.6291152,3.8614592,41237,0.9079152860600139,907.915286060014,False,False
Fac de Lettres,43.6353331,3.8687709,Saint-Éloi - Docteur Pezet,43.6271136,3.8667078,Unknown,0.9289270748992232,928.9270748992233,False,False
Fac de Lettres,43.6353331,3.8687709,Saint-Éloi - Docteur Pezet,43.6270892,3.866745,Unknown,0.9310677018374123,931.0677018374123,False,False
Fac de Lettres,43.6353331,3.8687709,Université Paul Valéry,43.6298936,3.8696428,Unknown,0.608901640235459,608.901640235459,False,True
Fac de Lettres,43.6353331,3.8687709,Université Paul Valéry,43.6299011,3.8696786,Unknown,0.6084124609524101,608.4124609524101,False,True
Fac de Lettres,43.6353331,3.8687709,Pôle Chimie Balard,43.634003,3.8679177,Unknown,0.1630620154913715,163.0620154913715,True,True
Fac de Lettres,43.6353331,3.8687709,Pôle Chimie Balard,43.6340036,3.8679627,Unknown,0.16150936301273905,161.50936301273904,True,True
Fac de Lettres,43.6353331,3.8687709,CNRS - Zoo de Lunaret,43.6382048,3.8658981,Unknown,0.3942238693833028,394.22386938330277,True,True
Fac de Lettres,43.6353331,3.8687709,CNRS - Zoo de Lunaret,43.6381895,3.8658642,Unknown,0.3944587695437726,394.45876954377263,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Corum,43.6142561,3.881957,41131,0.9462532985557007,946.2532985557008,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,0.7776014413223253,777.6014413223253,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Comédie,43.6084079,3.8797702,41133,0.5662090996609018,566.2090996609019,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gare Saint-Roch,43.6056584,3.8801992,41135,0.700365699411752,700.365699411752,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,0.8425195573077437,842.5195573077438,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Corum,43.6144182,3.8818054,42141,0.9482224925793349,948.2224925793349,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Rondelet,43.6030665,3.8761818,42125,0.7085678357096387,708.5678357096386,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gare Saint-Roch République,43.6051723,3.8797962,43231,0.7036912830501331,703.691283050133,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Observatoire,43.606427,3.8766896,43233,0.4213006007701234,421.30060077012337,False,True
