departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Comédie,Nombre d'Or,Centre,Centre,737,438.55989011938505,1094.2527185506488,2.495104416075922,0.0,4.830578626041839,43.6091864,3.8815041,43.6079002,3.8866534
Comédie,Occitanie,Centre,Hôpitaux-Facultés,735,3849.102631844296,5054.852452048757,1.3132547857334549,10.187957763671877,31.309594059115145,43.6091864,3.8815041,43.6343515,3.8486697
Saint-Guilhem - Courreau,Place Albert 1er - St Charles,Centre,Centre,732,857.4268524002482,1213.5577246426135,1.415348401143988,0.0,5.357250575434818,43.6089424,3.8727765,43.6166028,3.8739949
Corum,Médiathèque Emile Zola,Centre,Centre,731,1116.1243695755952,1428.9665892041814,1.2802933330337944,0.0,6.30817300804186,43.6141888,3.8818829,43.6082468,3.8930561
Saint-Guilhem - Courreau,Boutonnet,Centre,Centre,726,1292.921847376005,1574.6657748251075,1.217912573773043,0.0,6.951362062965439,43.6089424,3.8727765,43.6199984,3.8678033
Albert 1er - Cathédrale,Occitanie,Centre,Hôpitaux-Facultés,725,2967.157717146858,3390.062765528679,1.1425286717783494,12.16839599609375,25.708908903377527,43.6148176,3.8737832,43.6343515,3.8486697
Rue Jules Ferry - Gare Saint-Roch,Hôtel de Ville,Centre,Prés d'Arènes,721,1452.894006066569,2239.2196555229543,1.5412133618647177,0.0,9.885035169306082,43.6053253,3.8812294,43.5985194,3.8966319
Place Albert 1er - St Charles,Louis Blanc,Centre,Centre,717,364.6925908112045,1022.4538886297004,2.80360477396978,0.6003608703613281,5.04368130379783,43.6166028,3.8739949,43.614645,3.8776294
Comédie,Place Viala,Centre,Les Cévennes,702,2289.961361305631,3660.962088646369,1.5987003756950102,11.66421127319336,26.45964927343181,43.6091864,3.8815041,43.6168167,3.8550842
Port Marianne,Halles Castellane,Port Marianne,Centre,701,3252.2420139073474,4494.908527270842,1.3820953385540071,29.17203712463379,45.59876527097631,43.6059165,3.9168169,43.6101245,3.8768434
Port Marianne,Hôtel de Ville,Port Marianne,Prés d'Arènes,695,1821.5954770169355,2756.8684737002604,1.513436165429516,0.0,12.1701958771498,43.6059165,3.9168169,43.5985194,3.8966319
Corum,Fac de Lettres,Centre,Hôpitaux-Facultés,690,2577.153748834948,3087.8452676200413,1.198161060051602,38.026851654052734,47.20520025927184,43.6141888,3.8818829,43.6353331,3.8687709
