row_id,station_id,system_id,system_name,city,station_name,lat,lon,capacity,is_virtual_station_hint,label
456,13,v_lille,V'lille,Lille,Quai du Wault,50.63671,3.05477,18.0,False,
457,1039,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,Nestor Cornier (2),45.18139,5.72784,3.0,False,
458,8a709303-500c-4129-8803-3c0cc62f9242,bird-sarreguemines,Bird Sarreguemines,Sarreguemines,"15 Rue Jean Baptiste Dumaire, 57200 Sarreguemines, France",49.10773,7.08757,,True,
459,1158,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 3ème - Docteur Long-Vitton,45.75296,4.89496,3.0,False,
460,5d7ce8f1-a941-47d5-b58b-7543719a8800,bird-millau,Bird Millau,Millau,"525 Rue de Naulas, 12100 Millau, France",44.09451,3.05813,,True,
461,102,velo-tbm-bordeaux,Le Vélo par TBM,Bordeaux,Place de la Bourse,44.8403,-0.56914,39.0,False,
462,stn_NFyf3iRrQVGWwXbncTH959,tlpmobilites,TLP Mobilites,Tarbes,PIC DU JER,43.08386,-0.0442,4.0,False,
463,stn_9A7kPJo2KAEErpZFBWy6Yr,cyclam,Cycl'AM,Ardenne Métropole,Balan Mairie,49.68963,4.95977,8.0,False,
464,bordeaux_parking_Marquage_80402_zid8LFX8LDS,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Marquage_80402_zid8LFX8LDS,44.84258,-0.57838,,True,
465,5129ce99-61a4-4344-8ea6-e64641b9acc0,dott-paris,Dott Paris,Paris,id_old139001D20111206135319,48.87583,2.37412,,True,
466,bordeaux_parking_Arceau_12929_zid57OUBYEL,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_12929_zid57OUBYEL,44.83634,-0.58005,,True,
467,ce4bhqp2rcd13ifvqhng,levelo_inurba_marseille,levélo - Marseille,Marseille,Sainte-Marthe - Glacière,43.31756,5.39017,20.0,False,
468,0555fa0c-18cd-4005-877b-591ea05b935a,bird-vichy,Bird Vichy,Vichy,"1 Rue Demonet, 03200 Vichy, France",46.13359,3.42663,,True,
469,1507,citiz_la_rochelle,Citiz La Rochelle,La Rochelle,PISCINE,46.1688,-1.15388,2.0,False,
470,stn_JPYqriTdh8Rnyv2sHdzxEs,capcotentin,CapCotentin,Cherbourg-en-Cotentin,Querqueville Plage,49.66804,-1.69679,6.0,False,
471,03fb546f-7d3b-4a20-9a39-c252c4394f11,bird-bordeaux,Bird Bordeaux,Bordeaux,"33 Cr de Québec, 33300 Bordeaux, France",44.87883,-0.57102,,True,
472,366,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 2ème - Parking LPA Antonin Poncet,45.75642,4.83499,3.0,False,
473,stn_5hULajDnT58G6ACrSc4vjv,chantrerie,Naolib Micromob',Chantrerie,Restaurant interentreprises,47.2249,-1.64668,12.0,True,
474,d0ea1a73-19fb-4034-b542-86c37f5c9724,dott-lyon,Dott Lyon,Lyon,av mutualisés lyon 8,45.73306,4.85353,,True,
475,da347797-62b9-4bdd-b380-2ce3dca25518,dott-versailles-grand-parc,Dott Versailles Grand-Parc,Versailles,LCSC - DES SABLONS,48.85823,2.14515,,True,
476,5ee942ce-f434-4dfd-b1d5-014b3e7a55cc,dott-paris,Dott Paris,Paris,id_45278,48.88203,2.33454,,True,
477,cc3131e4-b91d-4820-9e47-0e3ad91dab24,dott-paris,Dott Paris,Paris,id_35365,48.86595,2.30146,,True,
478,af99a743-cd52-4867-8db8-81b46547b440,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.87866,-0.56869,,True,
