departure_station,arrival_station,count,avg_count
005 Corum,006 Place Albert 1er - St Charles,14,0.018970189701897018
005 Corum,009 Observatoire,1,0.0013550135501355014
005 Corum,011 Plan Cabanes,2,0.0027100271002710027
005 Corum,012 Boutonnet,20,0.02710027100271003
005 Corum,014 Beaux-Arts,4,0.005420054200542005
005 Corum,015 Les Aubes,2,0.0027100271002710027
005 Corum,017 M̩diath̬que Emile Zola,1,0.0013550135501355014
005 Corum,019 Louis Blanc,6,0.008130081300813009
005 Corum,020 Gambetta,2,0.0027100271002710027
005 Corum,021 Port Marianne,1,0.0013550135501355014
005 Corum,023 Les Arceaux,3,0.0040650406504065045
005 Corum,030 Charles Flahault,1,0.0013550135501355014
005 Corum,031 Voltaire,2,0.0027100271002710027
005 Corum,034 Vert Bois,10,0.013550135501355014
005 Corum,035 Malbosc,3,0.0040650406504065045
005 Corum,036 Occitanie,46,0.06233062330623306
005 Corum,037 FacdesSciences,29,0.03929539295392954
005 Corum,038 Fac de Lettres,13,0.017615176151761516
005 Corum,039 Aiguelongue,5,0.006775067750677507
005 Corum,040 Jeu de Mail des Abb̩s,1,0.0013550135501355014
005 Corum,041 Eurom̩decine,4,0.005420054200542005
005 Corum,043 Sabines,2,0.0027100271002710027
005 Corum,045 Jardin de la Lironde,2,0.0027100271002710027
005 Corum,046 P̬re Soulas,3,0.0040650406504065045
005 Corum,055 P̩rols Etang de l'Or,1,0.0013550135501355014
005 Corum,059 Sud De France,1,0.0013550135501355014
005 Corum,098 AtelierTAM,1,0.0013550135501355014
