Région-Département-Ville,"L’espérance de vie"
"Bourgogne - Yonne - Fontenoy",97
"Bourgogne - Yonne - Arthonnay",84
"Bourgogne - Yonne - Serbonnes",92
"Bourgogne - Yonne - Mailly-la-Ville",71
"Bourgogne - Yonne - Sauvigny-le-Bois",94
"Bourgogne - Yonne - Vinneuf",82
"Bourgogne - Yonne - Lavau",62
"Bourgogne - Yonne - Irancy",83
"Bretagne - Côtes-d'Armor - Pordic",84
"Bretagne - Côtes-d'Armor - Tréveneuc",68
"Bretagne - Côtes-d'Armor - Paimpol",79
"Bretagne - Côtes-d'Armor - Plouguernével",98
"Bretagne - Côtes-d'Armor - Saint-Brieuc",88
"Bretagne - Morbihan - Beignon",60
"Bretagne - Côtes-d'Armor - Perros-Guirec",78
"Bretagne - Côtes-d'Armor - Ploulec'h",71
"Bretagne - Côtes-d'Armor - Ploubazlanec",99
"Bretagne - Côtes-d'Armor - Ploumagoar",88
"Bretagne - Ille-et-Vilaine - Rennes",75
"Bretagne - Côtes-d'Armor - Guingamp",86
"Bretagne - Côtes-d'Armor - Trébeurden",93
"Bretagne - Côtes-d'Armor - Pleumeur-Bodou",73
"Bretagne - Côtes-d'Armor - Corlay",73
"Bretagne - Côtes-d'Armor - Kermaria-Sulard",62
"Bretagne - Côtes-d'Armor - Laniscat",97
"Bretagne - Côtes-d'Armor - Plourivo",80
"Bretagne - Finistère - Lannilis",62
"Bretagne - Finistère - Concarneau",79
"Bretagne - Finistère - Douarnenez",80
"Bretagne - Finistère - Landévennec",89
"Bretagne - Finistère - Esquibien",27
"Bretagne - Finistère - Querrien",91
"Bretagne - Finistère - Brest",82
"Bretagne - Finistère - Morlaix",85
"Bretagne - Finistère - Plogoff",76
"Bretagne - Finistère - Fouesnant",98
"Bretagne - Finistère - Roscoff",85
"Bretagne - Finistère - Loperhet",63
"Bretagne - Finistère - Lanvéoc",96
"Bretagne - Finistère - Bénodet",90
"Bretagne - Ille-et-Vilaine - Liffré",90
"Bretagne - Ille-et-Vilaine - Vieux-Vy-Sur-Couesnon",97
"Bretagne - Ille-et-Vilaine - Le Rheu",61
"Pays de la Loire - Loire-Atlantique - La Montagne",46
"Bretagne - Ille-et-Vilaine - Saint-Malo",86
"Île-de-France - Seine-Saint-Denis - Villemomble",87
"Bretagne - Ille-et-Vilaine - Le Pertre",89
"Provence-Alpes-Côte d'Azur - Var - Le Beausset",85
"Bretagne - Morbihan - Auray",92
"Bretagne - Morbihan - Pénestin",66
"Bretagne - Morbihan - Port-Louis",69
"Bretagne - Morbihan - Lorient",69
"Bretagne - Morbihan - Riantec",60
"Bretagne - Morbihan - Île-aux-Moines",80
"Bretagne - Morbihan - Arradon",97
"Bretagne - Morbihan - Vannes",78
"Bretagne - Morbihan - Erdeven",90
"Champagne-Ardenne - Marne - Cormontreuil",85
"Bretagne - Morbihan - Nivillac",87
"Aquitaine - Gironde - Sainte-Hélène",81
"Bretagne - Morbihan - Mauron",89
"Rhône-Alpes - Haute Savoie - Annemasse",88
"Bretagne - Morbihan - Quiberon",79
"Centre - Cher - Bourges",87
"Centre - Cher - Mareuil-sur-Arnon",98
"Centre - Indre - Champillet",98
"Centre - Cher - Morogues",92
"Centre - Cher - Menetou-Salon",80
"Centre - Indre - Issoudun",38
"Champagne-Ardenne - Marne - Épernay",80
"Centre - Cher - Léré",80
"Basse Normandie - Orne - La Madeleine-Bouvet",92
"Centre - Eure-Et-Loir - Lèves",94
"Centre - Eure-Et-Loir - Nogent-le-Rotrou",90
"Centre - Eure-Et-Loir - Voves",90
"Centre - Eure-Et-Loir - Brou",88
"Centre - Eure-Et-Loir - Pierres",81
"Centre - Eure-Et-Loir - Ver-lès-Chartres",93
"Centre - Eure-Et-Loir - Châteauneuf-en-Thymerais",62
"Centre - Eure-Et-Loir - La Loupe",89
"Centre - Eure-Et-Loir - Le Coudray",15
"Centre - Eure-Et-Loir - Neuvy-en-Beauce",88
"Centre - Eure-Et-Loir - Bailleau-le-Pin",80
"Centre - Eure-Et-Loir - Vaupillon",81
"Bourgogne - Yonne - Saint-Florentin",75
"Centre - Indre - Le Blanc",87
"Centre - Indre - Châteauroux",88
"Poitou-Charentes - Vienne - Angles-sur-L'anglin",93
"Centre - Indre-et-Loire - Neuillé-pont-Pierre",96
"Poitou-Charentes - Charente - Ruffec",91
"Pays de la Loire - Vendée - Les Sables-D'olonne",82
"Centre - Indre-et-Loire - Loches",85
"Centre - Indre-et-Loire - Tours",87
"Centre - Indre-et-Loire - Montreuil-en-Touraine",96
"Centre - Indre-et-Loire - Saint-Avertin",90
"Centre - Indre-et-Loire - Langeais",87
"Centre - Indre-et-Loire - Sonzay",66
"Centre - Indre-et-Loire - Bourgueil",88
"Centre - Indre-et-Loire - La Chapelle-Sur-Loire",96
"Centre - Indre-et-Loire - Saint-Martin-Le-Beau",90
"Centre - Indre-et-Loire - Saint-Pierre-Des-Corps",64
"Centre - Indre-et-Loire - Vouvray",84
"Centre - Indre-et-Loire - Descartes",76
"Centre - Indre-et-Loire - Beaulieu-lès-Loches",99
"Centre - Loir-et-Cher - Montrichard",63
"Centre - Loir-et-Cher - Josnes",76
"Centre - Loir-et-Cher - Blois",96
"Centre - Loir-et-Cher - Molineuf",39
"Centre - Loir-et-Cher - Mer",91
"Île-de-France - Yvelines - Les Clayes-Sous-Bois",79
"Centre - Loiret - Cléry-Saint-André",77
"Centre - Loiret - Châteauneuf-sur-Loire",93
"Centre - Loiret - Orléans",90
"Centre - Cher - Blancafort",75
"Centre - Loiret - Fleury-les-Aubrais",90
"Centre - Loiret - Malesherbes",70
"Centre - Loiret - Dampierre-en-Burly",97
"Centre - Loiret - Ladon",66
"Centre - Loiret - Corquilleroy",82
"Centre - Loiret - Ligny-le-Ribault",54
"Centre - Loiret - Charsonville",91
"Centre - Loiret - Saint-Ay",67
"Centre - Loiret - Ramoulu",82
"Centre - Loiret - Guigneville",84
"Centre - Loiret - Donnery",72
"Centre - Loiret - Pithiviers",86
"Centre - Loiret - La Chapelle-Saint-Mesmin",70
"Centre - Loiret - Montargis",87
"Centre - Loiret - Briare",85
"Centre - Loiret - Dordives",98
"Centre - Loiret - Saint-Denis-En-Val",84
"Centre - Loiret - Poilly-lez-Gien",93
"Centre - Loiret - La Selle-Sur-Le-Bied",58
"Champagne-Ardenne - Ardennes - Fumay",63
"Champagne-Ardenne - Ardennes - Sedan",71
"Champagne-Ardenne - Marne - Reims",76
"Champagne-Ardenne - Ardennes - Signy-L'abbaye",84
"Bretagne - Finistère - Trégunc",87
"Champagne-Ardenne - Aube - Troyes",82
"Champagne-Ardenne - Aube - Chessy-les-Prés",78
"Champagne-Ardenne - Aube - Sainte-Savine",87
"Rhône-Alpes - Rhône - Caluire-et-Cuire",91
"Champagne-Ardenne - Aube - Romilly-sur-Seine",82
"Champagne-Ardenne - Aube - Bar-sur-Seine",81
"Champagne-Ardenne - Aube - Villenauxe-la-Grande",92
"Champagne-Ardenne - Aube - La Louptière-Thénard",94
"Champagne-Ardenne - Aube - Vendeuvre Sur Barse",87
"Champagne-Ardenne - Aube - Pont Sainte Marie",89
"Picardie - Oise - Saint-Maur",80
"Pays de la Loire - Vendée - Boulogne",90
"Basse Normandie - Orne - Aube",69
"Champagne-Ardenne - Aube - Brienne Le Chateau",76
"Champagne-Ardenne - Aube - Nogent-sur-Seine",84
"Champagne-Ardenne - Aube - Bayel",99
"Champagne-Ardenne - Aube - Les Riceys",84
"Champagne-Ardenne - Aube - Saint-Parres-aux-Tertres",74
"Nord-Pas-de-Calais - Nord - Sin-le-Noble",85
"Poitou-Charentes - Charente-Maritime - Aulnay",95
"Champagne-Ardenne - Marne - Mourmelon-le-Grand",70
"Champagne-Ardenne - Marne - Saint-Brice-Courcelles",78
"Champagne-Ardenne - Marne - Châlons-en-Champagne",79
"Lorraine - Moselle - Metz",83
"Provence-Alpes-Côte d'Azur - Alpes-Maritimes - Cannes",83
"Champagne-Ardenne - Marne - Vitry-le-François",63
"Champagne-Ardenne - Marne - Pargny-sur-Saulx",76
"Champagne-Ardenne - Marne - Venteuil",54
"Île-de-France - Yvelines - Le Chesnay",55
"Champagne-Ardenne - Marne - Sézanne",58
"Champagne-Ardenne - Marne - Fismes",82
"Provence-Alpes-Côte d'Azur - Var - Callian",105
"Pays de la Loire - Loire-Atlantique - Issé",87
"Champagne-Ardenne - Marne - Saint-Memmie",90
"Île-de-France - Hauts de Seine - Meudon",95
"Provence-Alpes-Côte d'Azur - Alpes-Maritimes - Mandelieu-la-Napoule",82
"Champagne-Ardenne - Marne - Bussy-Lettrée",89
"Pays de la Loire - Mayenne - Saint-Berthevin",52
"Pays de la Loire - Sarthe - Montmirail",90
"Bretagne - Finistère - Baye",79
"Champagne-Ardenne - Marne - Anglure",95
"Picardie - Aisne - Soissons",79
"Champagne-Ardenne - Haute-Marne - Chaumont",81
"Champagne-Ardenne - Haute-Marne - Saint-Dizier",70
"Lorraine - Meuse - Sommelonne",75
"Franche-Comté - Haute Saône - Gray",73
"Champagne-Ardenne - Haute-Marne - Roches-Bettaincourt",58
"Champagne-Ardenne - Haute-Marne - Wassy",97
