Région-Département-Ville,"L’espérance de vie"
"Rhône-Alpes - Rhône - La Mulatière",91
"Rhône-Alpes - Rhône - Vourles",86
"Rhône-Alpes - Rhône - Champagne-Au-Mont-D'or",94
"Rhône-Alpes - Savoie - Chambéry",92
"Rhône-Alpes - Rhône - Dardilly",67
"Rhône-Alpes - Rhône - Communay",88
"Rhône-Alpes - Rhône - Chaponost",78
"Rhône-Alpes - Rhône - Rillieux-la-Pape",88
"Rhône-Alpes - Rhône - Anse",90
"Rhône-Alpes - Rhône - Vaulx-en-Velin",80
"Rhône-Alpes - Rhône - Villefranche-sur-Saône",87
"Rhône-Alpes - Rhône - Thizy-les-Bourgs",92
"Rhône-Alpes - Rhône - Saint-Cyr-Au-Mont-D'or",57
"Rhône-Alpes - Rhône - Saint-Romain-En-Gal",89
"Rhône-Alpes - Rhône - Tassin-La-Demi-Lune",94
"Rhône-Alpes - Rhône - Saint-Symphorien-D'ozon",76
"Rhône-Alpes - Rhône - Pont-Trambouze",96
"Rhône-Alpes - Rhône - Chazay-D'azergues",90
"Rhône-Alpes - Rhône - Saint-Martin-En-Haut",78
"Rhône-Alpes - Loire - Belleroche",80
"Rhône-Alpes - Rhône - L'arbresle",95
"Rhône-Alpes - Rhône - Saint-Genis-Les-Ollières",71
"Rhône-Alpes - Savoie - La Motte-Servolex",87
"Rhône-Alpes - Savoie - Plancherine",66
"Rhône-Alpes - Savoie - Modane",83
"Rhône-Alpes - Savoie - Saint-Martin-De-Belleville",82
"Rhône-Alpes - Savoie - Montvalezan",84
"Rhône-Alpes - Savoie - Villaroger",83
"Rhône-Alpes - Savoie - Aillon-le-Jeune",76
"Rhône-Alpes - Savoie - Saint-Pierre-De-Curtille",59
"Rhône-Alpes - Savoie - Challes-les-Eaux",91
"Rhône-Alpes - Savoie - Albertville",88
"Rhône-Alpes - Savoie - Aigueblanche",78
"Rhône-Alpes - Savoie - Cognin",87
"Rhône-Alpes - Ain - Apremont",63
"Rhône-Alpes - Savoie - Bozel",63
"Rhône-Alpes - Savoie - Champagny-en-Vanoise",87
"Rhône-Alpes - Savoie - Saint-Julien-Montdenis",91
"Rhône-Alpes - Savoie - La Motte-En-Bauges",49
"Rhône-Alpes - Savoie - Saint-Martin-La-Porte",93
"Rhône-Alpes - Savoie - Marthod",81
"Rhône-Alpes - Savoie - Valloire",70
"Rhône-Alpes - Savoie - Aime-la-Plagne",85
"Rhône-Alpes - Savoie - Vions",64
"Rhône-Alpes - Savoie - Planaise",99
"Rhône-Alpes - Savoie - Ugine",88
"Rhône-Alpes - Haute Savoie - La Roche-Sur-Foron",78
"Rhône-Alpes - Haute Savoie - Sallanches",83
"Rhône-Alpes - Haute Savoie - Argentière",84
"Rhône-Alpes - Haute Savoie - Amancy",61
"Rhône-Alpes - Haute Savoie - Marnaz",73
"Rhône-Alpes - Haute Savoie - Sciez",59
"Rhône-Alpes - Haute Savoie - Chamonix-mont-Blanc",78
"Rhône-Alpes - Haute Savoie - Saint-Gervais-Les-Bains",92
"Rhône-Alpes - Haute Savoie - Cruseilles",81
"Rhône-Alpes - Haute Savoie - Vinzier",82
"Rhône-Alpes - Haute Savoie - Taninges",71
"Rhône-Alpes - Haute Savoie - Seynod",89
"Rhône-Alpes - Haute Savoie - Doussard",23
"Rhône-Alpes - Haute Savoie - Saint-Jorioz",87
"Rhône-Alpes - Haute Savoie - Annecy-le-Vieux",91
"Rhône-Alpes - Haute Savoie - Ville-en-Sallaz",86
"Rhône-Alpes - Haute Savoie - Cranves-Sales",96
"Rhône-Alpes - Haute Savoie - Villy-le-Bouveret",75
"Rhône-Alpes - Haute Savoie - Saint-Jeoire-En-Faucigny",90
"Rhône-Alpes - Haute Savoie - Pers-Jussy",19
"Rhône-Alpes - Savoie - Verel-Pragondran",88
"Rhône-Alpes - Haute Savoie - Menthonnex-sous-Clermont",91
"Rhône-Alpes - Haute Savoie - Bons-en-Chablais",79
"Rhône-Alpes - Haute Savoie - Megève",83
"Rhône-Alpes - Haute Savoie - Cran-Gevrier",59
"Rhône-Alpes - Haute Savoie - Ambilly",84
"Rhône-Alpes - Haute Savoie - Passy",83
"Rhône-Alpes - Haute Savoie - Domancy",82
"Rhône-Alpes - Haute Savoie - Valleiry",83
"Rhône-Alpes - Haute Savoie - Vétraz-Monthoux",72
"Rhône-Alpes - Haute Savoie - Les Contamines-Montjoie",98
"Rhône-Alpes - Haute Savoie - Morillon",89
"Rhône-Alpes - Haute Savoie - Frangy",56
"Rhône-Alpes - Haute Savoie - Meythet",70
"Rhône-Alpes - Haute Savoie - Veyrier-du-Lac",92
"Rhône-Alpes - Haute Savoie - Gaillard",93
"Rhône-Alpes - Ardèche - Laviolle",89
"Rhône-Alpes - Haute Savoie - Thyez",46
"Rhône-Alpes - Haute Savoie - Draillant",103
"Rhône-Alpes - Haute Savoie - Le Fayet",93
"Rhône-Alpes - Haute Savoie - Ballaison",52
"Rhône-Alpes - Haute Savoie - Lucinges",79
"Rhône-Alpes - Haute Savoie - La Muraz",58
"Rhône-Alpes - Haute Savoie - Saint-Cergues",91
"Rhône-Alpes - Haute Savoie - Scionzier",95
"Rhône-Alpes - Haute Savoie - Évian-les-Bains",86
"Rhône-Alpes - Haute Savoie - Douvaine",87
"Rhône-Alpes - Haute Savoie - Menthonnex-en-Bornes",99
"Rhône-Alpes - Haute Savoie - Marcellaz-Albanais",58
"Rhône-Alpes - Haute Savoie - Vacheresse",53
"Rhône-Alpes - Haute Savoie - Chilly",79
"Rhône-Alpes - Haute Savoie - Orcier",27
"Rhône-Alpes - Haute Savoie - Yvoire",85
"Aquitaine - Lot-et-Garonne - Monbahus",81
"Martinique - Martinique - Fort-de-France",84
"Martinique - Martinique - Schoelcher",92
"La Réunion - Réunion - Le Port",92
"Rhône-Alpes - Loire - Saint-Joseph",80
"La Réunion - Réunion - Le Tampon",77
"Alsace - Haut Rhin - Saint-Louis",81
"Île-de-France - Seine-Saint-Denis - Saint-Denis",84
"Limousin - Haute Vienne - Saint-Paul",81
"La Réunion - Réunion - La Possession",75
"La Réunion - Réunion - Saint-Pierre",83
"Martinique - Martinique - Sainte-Anne",66
"Bourgogne - Saône-et-Loire - Saint-Leu",84
"Languedoc-Roussillon - Hérault - Prades-le-Lez",82
"Centre - Indre-et-Loire - Amboise",59
"Midi-Pyrénées - Haute Garonne - Saint-André",82
"La Réunion - Réunion - Les Avirons",89
