rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,revenu_median_uc,taux_chomage,part_cadres,part_diplomes_sup,part_sans_voiture,taux_pauvrete,part_velo,fub_score_2023,fub_rank_2023,emp_part_velo_2019,infra_cyclable_km,infra_cyclable_km_per_km2,gtfs_stops_within_300m_pct,eco_avg_daily_bike_counts,baac_accidents_cyclistes,baac_accidents_cyclistes_per_100k,fragilite_sociale,niveau_socio,quadrant,desert_score,IMD_attendu,IES,cluster,typology,region,department,quadrant_simple,IMD_bs_mean,IMD_ci95_low,IMD_ci95_high,rang_ci95_low,rang_ci95_high,pct_top10
21,Grenoble,0,408,824,1232,3,0,0,0.631,2,0.01,—,160000.0,0.0,0.0,0.003,0.003,0.631,0.009950330853168,0.0061147092809154,0.0,0.0,0.6666666666666666,0.4294,20000.0,12.0,24.0,54.0,38.0,22.0,8.0,,,,,,,,,,0.298,0.7564160401002507,"Villes Favorisées
Bien Équipées",38.56866666666667,0.4248856681554315,1.0106,1,C1 — Villes Moyennes,Auvergne-Rhône-Alpes,Isère,Favorisée,0.4293,0.2667,0.5727,16.0,55.0,0.0
22,Argelès-sur-Mer,6,0,0,6,1,1,60,0.7,1,1.69,Vélo d'Aqui,12000.0,0.5,5.0,0.6605,0.6605,0.7,0.9895411936137476,0.6080960331597066,0.4054651081081644,0.2742097587235786,0.3333333333333333,0.4258,17500.0,14.0,13.0,33.0,18.0,22.0,3.0,,,,,,,,,,0.326,0.5220426065162908,Mobilité Inclusive ★,38.98066666666666,0.3858057630229381,1.1037,0,C0 — Villes Fragiles,Occitanie,Pyrénées-Orientales,Inclusive,0.4249,0.3582,0.5091,13.0,36.0,0.2
23,Bourg-en-Bresse,45,0,0,45,1,1,537,0.7959,1,1.14,Rubis'Velo,42000.0,1.0714285714285714,12.785714285714286,0.4137,0.4137,0.7959,0.76080582903376,0.4675328421151076,0.7282385003712154,0.4924963936150608,0.3333333333333333,0.4057,20000.0,10.5,16.0,38.0,20.0,18.0,1.5,2.72,,2.5,71.96,1.297,,,4.0,9.5,0.2895,0.607844611528822,"Villes Favorisées
Bien Équipées",38.64766666666667,0.4248856681554315,0.9548,0,C0 — Villes Fragiles,Auvergne-Rhône-Alpes,Ain,Favorisée,0.4053,0.3617,0.4781,16.0,26.0,0.1
24,La Baule,14,0,0,14,1,1,260,0.811,1,1.04,La Baule,16000.0,0.875,16.25,0.3737,0.3737,0.811,0.712949807856125,0.4381242062455372,0.6286086594223741,0.425118278699776,0.3333333333333333,0.3899,23000.0,9.5,18.0,45.0,18.0,14.0,3.0,,,,,,,,,,0.2625,0.7020927318295739,"Villes Favorisées
Bien Équipées",38.70033333333333,0.4717815543144236,0.8264,1,C1 — Villes Moyennes,Pays de la Loire,Loire-Atlantique,Favorisée,0.3895,0.3514,0.4657,20.0,28.0,0.0
25,Épinal,105,0,0,105,1,1,1615,0.947,1,0.13,Vilvolt,31000.0,3.3870967741935485,52.096774193548384,0.0413,0.0413,0.947,0.1222176327242492,0.0751055722807994,1.4786676812509056,1.0,0.3333333333333333,0.3876,18000.0,12.0,14.0,35.0,18.0,22.0,1.0,,,2.6,31.01,1.119,,,3.0,9.7,0.3179999999999999,0.5476315789473685,Mobilité Inclusive ★,38.708,0.3936217440494368,0.9847,0,C0 — Villes Fragiles,Grand Est,Vosges,Inclusive,0.3885,0.254,0.56,6.0,50.0,6.3
26,Cergy-Pontoise,45,0,0,45,1,1,873,0.8789,1,1.58,VélO2,215000.0,0.2093023255813953,4.06046511627907,0.4451,0.4451,0.8789,0.947789398933526,0.582438586166902,0.1900436028878649,0.1285235386541309,0.3333333333333333,0.3799,22000.0,11.0,18.0,40.0,32.0,20.0,1.5,,,1.8,61.91,3.498,,,0.0,0.0,0.297,0.6630576441102757,"Villes Favorisées
Bien Équipées",38.73366666666667,0.4561495922614262,0.8328,0,C0 — Villes Fragiles,Île-de-France,Val-d'Oise,Favorisée,0.3789,0.3047,0.4762,19.0,53.0,0.0
27,Dijon,40,0,0,40,1,1,881,0.838,1,1.262,Velodi,157000.0,0.2547770700636942,5.611464968152866,0.4584,0.4584,0.838,0.8162493776939287,0.501604189747863,0.2269579233896804,0.1534881206017036,0.3333333333333333,0.3784,21500.0,10.5,22.0,38.0,20.0,14.0,4.5,,,,,,,,,,0.2575,0.6803258145363409,"Villes Favorisées
Bien Équipées",38.738666666666674,0.4483336112349275,0.844,1,C1 — Villes Moyennes,Bourgogne-Franche-Comté,Côte-d'Or,Favorisée,0.3774,0.311,0.4659,20.0,51.0,0.0
28,Longwy,39,0,0,39,1,1,450,0.8101,1,0.25,Vertuose,15000.0,2.6,30.0,0.0841,0.0841,0.8101,0.2231435513142097,0.1371268919930441,1.2809338454620642,0.8662756762076758,0.3333333333333333,0.3734,17000.0,14.0,11.0,28.0,20.0,25.0,0.8,,,1.4,,,,,0.0,0.0,0.345,0.4728822055137844,Mobilité Inclusive ★,39.45533333333333,0.3779897819964394,0.9879,0,C0 — Villes Fragiles,Grand Est,Meurthe-et-Moselle,Inclusive,0.3741,0.2651,0.5111,10.0,49.0,3.1
29,Saint-Brieuc,12,0,0,12,1,1,130,0.9021,1,0.96,Vélo'Baie,44000.0,0.2727272727272727,2.9545454545454546,0.3955,0.3955,0.9021,0.6729444732424258,0.4135399995032427,0.2411620568168881,0.163094155552837,0.3333333333333333,0.3679,19000.0,12.0,16.0,38.0,22.0,20.0,1.5,2.95,,2.1,80.12,2.283,,1500.0,6.0,13.6,0.304,0.5938095238095238,"Villes Favorisées
Bien Équipées",38.77366666666666,0.4092537061024341,0.899,0,C0 — Villes Fragiles,Bretagne,Côtes-d'Armor,Favorisée,0.3669,0.3044,0.4655,23.0,51.0,0.0
30,Clermont-Ferrand,82,0,0,82,1,1,1716,0.8533,1,0.87,C-Vélo,147000.0,0.5578231292517006,11.673469387755103,0.3085,0.3085,0.8533,0.6259384308664953,0.3846536953374175,0.4432894167755033,0.2997897515420737,0.3333333333333333,0.3632,19000.0,11.0,21.0,45.0,25.0,20.0,2.0,2.88,,1.9,128.24,3.003,,1800.0,23.0,15.6,0.291,0.6716666666666666,"Villes Favorisées
Bien Équipées",38.78933333333333,0.4092537061024341,0.8875,0,C0 — Villes Fragiles,Auvergne-Rhône-Alpes,Puy-de-Dôme,Favorisée,0.3627,0.3252,0.4527,26.0,38.0,0.0
31,Landerneau,14,0,0,14,1,1,175,0.9,1,0.47,Ti Vélo,16000.0,0.875,10.9375,0.2324,0.2324,0.9,0.3852624007906449,0.2367526881734065,0.6286086594223741,0.425118278699776,0.3333333333333333,0.3597,20000.0,9.5,16.0,37.0,18.0,16.0,2.5,,,,,,,,,,0.2764999999999999,0.602844611528822,"Villes Favorisées
Bien Équipées",38.801,0.4248856681554315,0.8466,0,C0 — Villes Fragiles,Bretagne,Finistère,Favorisée,0.3594,0.3048,0.4615,25.0,39.0,0.0
32,Libourne,66,0,0,66,1,1,725,0.7728,1,0.1,CaliVélo,26000.0,2.5384615384615383,27.884615384615387,0.0465,0.0465,0.7728,0.0953101798043248,0.0585703178733671,1.2636920390275583,0.854615310154419,0.3333333333333333,0.3585,19500.0,11.0,15.0,36.0,18.0,18.0,1.0,,,2.2,37.92,3.869,,,0.0,0.0,0.293,0.5822556390977444,Sous-Investissement,38.80500000000001,0.4170696871289328,0.8596,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Gironde,Sous-investie,0.3593,0.2434,0.4952,12.0,58.0,1.5
33,Mulhouse,60,0,0,60,1,1,995,0.844,1,0.84,VéloCité Mulhouse,108000.0,0.5555555555555556,9.212962962962962,0.2711,0.2711,0.844,0.6097655716208943,0.3747150979191689,0.4418327522790392,0.2988046319543975,0.3333333333333333,0.3551,15000.0,18.0,14.0,32.0,30.0,32.0,2.0,2.95,,5.4,139.22,6.271,,4500.0,2.0,1.9,0.3859999999999999,0.4905263157894737,Désert de Mobilité Sociale ⚠,41.016333333333336,0.3467258578904447,1.0242,0,C0 — Villes Fragiles,Grand Est,Haut-Rhin,Désert,0.3546,0.3137,0.4451,29.0,41.0,0.0
34,Niort,51,0,0,51,1,1,712,0.7764,1,0.62,Vélo Tanlib,60000.0,0.85,11.866666666666664,0.2405,0.2405,0.7764,0.4824261492442927,0.2964620670076683,0.6151856390902334,0.4160404984098969,0.3333333333333333,0.3547,21000.0,8.5,18.0,42.0,18.0,16.0,2.0,3.18,,3.4,115.03,1.086,,2200.0,2.0,3.3,0.2695,0.6590225563909774,Sous-Investissement,38.81766666666667,0.4405176302084289,0.8052,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Deux-Sèvres,Sous-investie,0.3545,0.3101,0.4339,29.0,41.0,0.0
35,Troyes,30,0,0,30,1,1,406,0.7437,1,0.99,Le Marcel,62000.0,0.4838709677419355,6.548387096774194,0.3132,0.3132,0.7437,0.688134638736401,0.4228747088003792,0.3946541920039487,0.2668985039762848,0.3333333333333333,0.3546,18500.0,14.0,15.0,34.0,22.0,24.0,1.5,2.82,,2.0,47.62,2.976,,1600.0,20.0,32.3,0.332,0.5582205513784462,Désert de Mobilité Sociale ⚠,39.418000000000006,0.4014377250759354,0.8833,0,C0 — Villes Fragiles,Grand Est,Aube,Désert,0.3541,0.3188,0.4264,27.0,50.0,0.0
36,PAU,40,0,0,40,1,1,420,0.9548,1,0.72,IDEcycle (Pau),77000.0,0.5194805194805194,5.454545454545455,0.2427,0.2427,0.9548,0.5423242908253617,0.3332708653923711,0.4183685129440722,0.2829361311191611,0.3333333333333333,0.3535,20000.0,11.5,19.0,43.0,25.0,20.0,2.0,2.75,,1.8,109.86,3.488,,,32.0,41.6,0.2965,0.6585588972431077,Sous-Investissement,38.821666666666665,0.4248856681554315,0.832,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Sous-investie,0.3529,0.3013,0.4652,25.0,43.0,0.0
37,Louviers,40,0,0,40,1,1,390,0.7405,1,0.16,Semo Vélo,18000.0,2.2222222222222223,21.666666666666668,0.0615,0.0615,0.7405,0.1484200051182733,0.0912075383384135,1.1700712526502546,0.7913010255694584,0.3333333333333333,0.3532,19000.0,12.0,13.0,33.0,18.0,20.0,1.0,,,2.1,12.48,1.642,,,1.0,5.6,0.31,0.5430952380952381,Sous-Investissement,38.82266666666667,0.4092537061024341,0.863,0,C0 — Villes Fragiles,Normandie,Eure,Sous-investie,0.3539,0.2479,0.4783,14.0,57.0,0.6
